,descrizione,numero
316,Laurea in giurisprudenza;  Notaio,1
317,"Laurea in lingue e letterature straniere; Giornalista professionista, Vice Presidente del Gruppo PPE all'Assemblea del Consiglio d'Europa",1
318,"Laurea in storia; Inviato speciale, Editorialista",1
319,Laurea in sociologia; insegnante,1
320,Diploma di perito aziendale; addetta pubbliche relazioni,2
321,Laurea in relazioni internazionali,2
322,Sindaco,1
323,"laurea in lettere e filosofia;docente universitario,ricercatore di scienze orientali",1
324,"Laurea in giurisprudenza, Scuola di specializzazione per le professioni legali; Avvocato penalista esperto in diritto dell'immigrazione.",1
325,Scienze e tecnologie dello spettacolo; Parlamentare,1
326,Laurea in Economia aziendale e gestione delle imprese internazionali; Imprenditrice del settore metalmeccanico,1
327,Laurea in giurisprudenza; Dipendente pubblico; Amministratore locale,1
328,Diploma di liceo scientifico; Imprenditrice nel settore organizzazioni eventi e manifestazioni,1
329,Licenza media superiore; impiegato,8
330,"Laurea in giurisprudenza, Scuola di formazione per Amministratore giudiziario - Beni confiscati; Avvocato civilista, Avvocato cassazionista",1
331,Licenza media;  Dirigente sindacale,2
332,Laurea in scienze biologiche; Biologo,2
333,"Laurea in lingue e letterature straniere, Master e Phd in letteratura francese; Professore associato di lingua e letteratura francese",1
334,Diploma di liceo scientifico; Funzionario di partito; Amministratore comunale,1
335,"Laurea in economia e commercio, Master presso la Trento School of Managment come consulente di impresa tra integrazione dei servizi e telelavoro; Dipendente pubblico",1
336,Diploma di liceo classico; Dipendente di azienda privata,1
337,Laurea in sociologia; ex Presidente nazionale Legambiente,1
338,Studente universitario.,1
339,Laurea in scienze dell'educazione; Studente,1
340,Giornalista professionista,2
341,Crocerossina.,1
342,Funzionario di partito.,12
343,Laurea in scienze della produzione animale,1
344,Liceo linguistico; dirigente di partito FI,1
345,Laurea in giurisprudenza; avvocato - penalista - patrocinante in Cassazione,1
346,Diploma di istituto tecnico commerciale; Impiegato,1
347,Diploma di scuola magistrale; Imprenditore,1
348,Laurea in giurisprudenza; Avvocato,22
349,"Laurea in filosofia, Dottorato di ricerca; Docente universitario",1
350,Laurea in biologia medica,1
351,"Laurea in medicina e chirurgia, Specializzazione in Anatomia Patologica; Professore ordinario di patologia clinica",1
352,Laurea in giurisprudenza;  Funzionario di partito,1
353,Laurea in lingue e letterature straniere; funzionario sindacale,1
354,Laurea in scienze della comunicazione; Giornalista professionista,3
355,Diploma di liceo classico; Studente,2
356,"laurea in filosofia;docente universitario, ricercatore distoria della filosofia moderna",2
357,"Laurea in medicina e chirurgia, Specializzazione in medicina interna; Medico chirurgo specialista in medicina interna, Autrice del saggio ""Perché proprio a me?"" edito da Sperling&amp;Kupfer, Vice presidente AIL",1
358,Studi letterari università cattolica; dirigente di partito,1
359,Laurea in lettere; docente - scuola media superiore,2
360,Laurea in lettere e filosofia; scrittrice.,1
361,Laurea in lingue e letterature straniere; Assessore alle politiche sanitarie della regione Veneto; ha svolto attività di docente universitario a contratto,1
362,"Laurea in lettere antiche, Laurea in giurisprudenza;  Avvocato",1
363,Laurea in architettura; dirigente partito politico,3
364,Laurea in scienze economiche;  Economista,1
