Governo,Ministro,nome,cognome,gender
VI Governo De Gasperi,Ministro senza Portafoglio,RAFFAELE PIO,PETRILLI,male
II Governo Leone,Ministro senza Portafoglio,ITALO GIULIO,CAIATI,male
III Governo Moro,Ministro dell'Agricoltura e Foreste,FRANCESCO,RESTIVO,male
II Governo Leone,Ministro dell'Interno,FRANCESCO,RESTIVO,male
I Governo Rumor,Ministro dell'Interno,FRANCESCO,RESTIVO,male
II Governo Rumor,Ministro dell'Interno,FRANCESCO,RESTIVO,male
I Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,male
II Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,male
III Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,male
II Governo Leone,Ministro del Tesoro,EMILIO,COLOMBO,male
II Governo Leone,Ministro del Bilancio e della Programmazione Economica,EMILIO,COLOMBO,male
I Governo Rumor,Ministro del Tesoro,EMILIO,COLOMBO,male
II Governo Rumor,MInistro del Tesoro,EMILIO,COLOMBO,male
I Governo Moro,Ministro del Turismo e Spettacolo,ACHILLE,CORONA,male
II Governo Moro,Ministro del Turismo e Spettacolo,ACHILLE,CORONA,male
III Governo Moro,Ministro del Turismo e Spettacolo,ACHILLE,CORONA,male
II Governo Moro,MInistro del Lavoro e della Previdenza Sociale,UMBERTO,DELLE FAVE,male
I Governo Moro,Ministro senza Portafoglio,UMBERTO,DELLE FAVE,male
I Governo Rumor,Ministro senza Portafoglio,EUGENIO,GATTO,male
II Governo Rumor,MInistro senza Portafoglio,EUGENIO,GATTO,male
II Governo Moro,Ministro dell'Industria e Commercio,EDGARDO,LAMI STARNUTI,male
VI Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,male
VI Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,male
I Governo Moro,Ministro dei Lavori Pubblici,GIOVANNI,PIERACCINI,male
II Governo Moro,Ministro del Bilancio,GIOVANNI,PIERACCINI,male
III Governo Moro,Ministro del Bilancio,GIOVANNI,PIERACCINI,male
III Governo Moro,Ministro del Bilancio e della Programmazione Economica,GIOVANNI,PIERACCINI,male
I Governo Rumor,Ministro della Sanità,CAMILLO,RIPAMONTI,male
II Governo Rumor,Ministro della Sanità,CAMILLO,RIPAMONTI,male
II Governo Leone,Ministro della Pubblica Istruzione,GIOVANNI BATTISTA,SCAGLIA,male
II Governo Rumor,Ministro del Turismo e Spettacolo,GIOVANNI BATTISTA,SCAGLIA,male
II Governo Moro,Ministro senza Portafoglio,GIOVANNI BATTISTA,SCAGLIA,male
III Governo Moro,Ministro senza Portafoglio,GIOVANNI BATTISTA,SCAGLIA,male
I Governo Rumor,MInistro del Commercio con l'Estero,VITTORINO,COLOMBO,male
II Governo Rumor,Ministro della Marina Mercantile,VITTORINO,COLOMBO,male
I Governo Rumor,Ministro senza Portafoglio,FRANCESCO,DE MARTINO,male
II Governo Moro,Ministro degli Affari Esteri,AMINTORE,FANFANI,male
III Governo Moro,Ministro degli Affari Esteri,AMINTORE,FANFANI,male
III Governo Moro,MInistro del Commercio con l'Estero,GIUSTO,TOLLOY,male
I Governo Rumor,Ministro dell'Agricoltura e Foreste,ATHOS,VALSECCHI,male
II Governo Rumor,Ministro delle Poste e Telecomunicazioni,ATHOS,VALSECCHI,male
II Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,male
I Governo Moro,Ministro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,male
II Governo Moro,MInistro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,male
II Governo Leone,Ministro delle Finanze,MARIO,FERRARI AGGRADI,male
I Governo Rumor,Ministro delle Poste e Telecomunicazioni,MARIO,FERRARI AGGRADI,male
I Governo Rumor,MInistro della Pubblica Istruzione,MARIO,FERRARI AGGRADI,male
II Governo Rumor,MInistro della Pubblica Istruzione,MARIO,FERRARI AGGRADI,male
III Governo Moro,Ministro senza Portafoglio,VIRGINIO,BERTINELLI,male
I Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,GIACOMO,BRODOLINI,male
I Governo Leone,Ministro della Marina Mercantile,FRANCESCO MARIA,DOMINEDO',male
I Governo Rumor,Ministro delle Partecipazioni Statali,ARNALDO,FORLANI,male
II Governo Rumor,Ministro senza Portafoglio,ARNALDO,FORLANI,male
III Governo Moro,Ministro senza Portafoglio,LEOPOLDO,RUBINACCI,male
II Governo Rumor,MInistro dei Trasporti e dell'Aviazione civile,REMO,GASPARI,male
I Governo Moro,Ministro del Bilancio,ANTONIO,GIOLITTI,male
I Governo Leone,MInistro dei Trasporti e dell'Aviazione Civile,GUIDO,CORBELLINI,male
I Governo Rumor,Ministro di Grazia e Giustizia,SILVIO,GAVA,male
I Governo Leone,Ministro del Bilancio,GIUSEPPE,MEDICI,male
I Governo Moro,Ministro dell'Industria e Commercio,GIUSEPPE,MEDICI,male
II Governo Moro,Ministro dell'Industria e Commercio,GIUSEPPE,MEDICI,male
II Governo Leone,Ministro degli Affari Esteri,GIUSEPPE,MEDICI,male
