d,nome,cognome,legislatura,gender
http://dati.camera.it/ocd/deputato.rdf/d11750_1,LUIGI,VALLONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11760_1,SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11780_1,GIUSEPPE,GRASSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11800_1,ARTURO,BURATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d1180_1,BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11810_1,VERENIN,GRAZIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11820_1,RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11840_1,GIOVAN BATTISTA,ADONNINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11860_1,ALESSANDRO,SCOTTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11870_1,GIULIO,PASTORE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11890_1,GIOVANNI,GASPAROLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11920_1,VIRGINIO,BORIONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11940_1,GAETANO,INVERNIZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d1000_2,PAOLO,BONOMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10010_2,MARIO,RICCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10020_2,ACHILLE,RIGAMONTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10030_2,GIUSEPPE,RIVA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10040_2,ERCOLE,ROCCHETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10070_2,GIUSEPPE,ROMANATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10080_2,BARTOLOMEO,ROMANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10100_2,PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10120_2,ANGELO,RUBINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10160_2,ARMANDO,SABATINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10170_2,DINO,SACCENTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10220_2,UMBERTO,SAMPIETRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10230_2,VITO,SANZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10270_2,CARLO,SCARASCIA MUGNOZZA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10300_2,GIUSEPPE,SCHIRO',http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10310_2,FRANCESCO,SCIAUDONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10330_2,RAFFAELE,SCIORILLI BORRELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10350_2,GUIDO,SECRETO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10360_2,ANTONIO,SENSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10440_2,RENZO,SILVESTRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10450_2,GIOVANNI,SODANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10460_2,TOMMASO,SORGI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10470_2,ODO,SPADAZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10540_2,GIOVANNI BATTISTA,STUCCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10580_2,LEONILDO,TAROZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10610_2,MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10630_2,EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10640_2,EMILIO,TRABUCCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10740_2,TULLIO,VECCHIETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10760_2,CARLO EUGENIO,VENEGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10770_2,GIUSEPPE,VERONESI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10790_2,VITTORINO,VILLANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10820_2,ARTURO,VIVIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10840_2,RICCARDO,WALTER,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10850_2,FULVIO,ZAMPONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10890_2,TOMMASO,ZERBI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d10960_2,RENZO,PASINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11010_2,RENATO,GOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11070_2,DOMENICO,LECCISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11080_2,VITO,SCALIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d1110_2,ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11130_2,MICHELE,DEL VESCOVO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11190_2,OTELLO,MARILLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11220_2,SALVATORE,PAGLIUCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11230_2,FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11290_2,MARIO,ANGELUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11300_2,FRANCESCO,DE VITA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11310_2,ENNIO,DE BIAGI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11330_2,LODOVICO SFORZA,BENVENUTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
http://dati.camera.it/ocd/deputato.rdf/d11340_2,GUIDO,CORTESE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,male
