Governo,Ministro,nome,cognome,gender,legislatura
I Governo Renzi,Vice ministro dello sviluppo economico,CARLO,CALENDA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice ministro degli affari esteri,LAPO,PISTELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice Ministro dell'Interno,FILIPPO,BUBBICO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,FEDERICA,MOGHERINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
IV Governo Fanfani,Ministro del Tesoro,ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro senza Portafoglio,ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,EZIO,VIGORELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro dell'Interno,FERDINANDO,TAMBRONI ARMAROLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro del Tesoro,FERDINANDO,TAMBRONI ARMAROLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro delle Finanze,MARIO,MARTINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
III Governo Fanfani,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,MInistro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
II Governo Fanfani,Ministro del Commercio con l'Estero,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro del Tesoro,EMILIO,COLOMBO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
I Governo Leone,Ministro del Lavoro e della Previdenza Sociale,UMBERTO,DELLE FAVE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
II Governo Fanfani,Ministro delle Partecipazioni Statali,EDGARDO,LAMI STARNUTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro degli Affari Esteri,GIUSEPPE,PELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro del Bilancio,GIUSEPPE,PELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
