legislatura,Governo,Ministro,nome,cognome
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro della Salute,FERRUCCIO,FAZIO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro dell'Economia e delle finanze,MARIO,MONTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro affari esteri,MARIO,MONTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro dell'Interno,ANNA MARIA,CANCELLIERI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro della Giustizia,PAOLA,SEVERINO DI BENEDETTO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro della Difesa,GIAMPAOLO,DI PAOLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro dello Sviluppo economico,CORRADO,PASSERA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro delle Infrastrutture e dei trasporti,CORRADO,PASSERA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro delle Politiche agricole alimentari e forestali,MARIO,CATANIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro dell'Ambiente e della tutela del territorio e del mare,CORRADO,CLINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro del Lavoro e delle politiche sociali,ELSA,FORNERO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro della Salute,RENATO,BALDUZZI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,"Ministro dell'Istruzione, dell'università e della ricerca",FRANCESCO,PROFUMO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro per i Beni e le attività culturali,LORENZO,ORNAGHI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio per gli affari europei,ENZO,MOAVERO MILANESI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio per il turismo e lo sport,PIERO,GNUDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,"Ministro senza portafoglio per gli affari regionali, il turismo e lo sport",PIERO,GNUDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio per la coesione territoriale,FABRIZIO,BARCA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio per la cooperazione internazionale e l'integrazione,ANDREA,RICCARDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro degli Affari esteri,GIULIOMARIA,TERZI DI SANT'AGATA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Vice Ministro affari esteri,MARTA,DASSU'
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Vice Ministro affari esteri,STAFFAN,DE MISTURA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Viceministro dell'Economia e delle finanze,VITTORIO UMBERTO,GRILLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro dell'Economia e delle finanze,VITTORIO UMBERTO,GRILLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Vice Ministro delle Infrastrutture e dei trasporti,MARIO,CIACCIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Vice Ministro del Lavoro e delle politiche sociali,MICHEL,MARTONE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio per la pubblica amministrazione e la semplificazione,FILIPPO,PATRONI GRIFFI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,I Governo Letta,Ministro dei Beni e delle Attività culturali e del Turismo,MASSIMO,BRAY
http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,I Governo Letta,Vice Ministro del Lavoro e delle Politiche sociali,MARIA CECILIA,GUERRA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Zoli,Ministro del Lavoro e della Previdenza Sociale,LUIGI,GUI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per le riforme per il federalismo,UMBERTO,BOSSI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,UMBERTO,BOSSI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per la semplificazione normativa,ROBERTO,CALDEROLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,ROBERTO,CALDEROLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Vice Ministro delle Infrastrutture e dei Trasporti,ROBERTO,CASTELLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per i rapporti con il Parlamento,ELIO,VITO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,ELIO,VITO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro dello Sviluppo Economico,SILVIO,BERLUSCONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro delle Politiche agricole alimentari e forestali,GIANCARLO,GALAN
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro per i beni e le attività culturali,GIANCARLO,GALAN
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Vice Ministro dello Sviluppo economico,PAOLO,ROMANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro dello Sviluppo economico,PAOLO,ROMANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per l'attuazione del programma,GIANFRANCO,ROTONDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,GIANFRANCO,ROTONDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per l'attuazione del programma di Governo,GIANFRANCO,ROTONDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Vice Ministro dello Sviluppo economico,ADOLFO,URSO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Segni,Ministro di Grazia e Giustizia,ALDO,MORO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Zoli,Ministro della Pubblica Istruzione,ALDO,MORO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro degli Affari esteri,FRANCO,FRATTINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro dello Sviluppo economico,CLAUDIO,SCAJOLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Zoli,Ministro senza Portafoglio,RINALDO,DEL BO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,ANNA MARIA,BERNINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,MINISTRO SENZA PORTAFOGLIO,ALDO,BRANCHER
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,I Governo Monti,Ministro senza portafoglio,FILIPPO,PATRONI GRIFFI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dell'Istruzione,LUCIA,AZZOLINA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dell'Università e della ricerca,GAETANO,MANFREDI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro delle Infrastrutture e dei trasporti,PAOLA,DE MICHELI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per le Politiche giovanili e lo sport,VINCENZO,SPADAFORA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per gli Affari regionali e le autonomie,FRANCESCO,BOCCIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per i Rapporti con il Parlamento,FEDERICO,D'INCA'
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro per i Beni e le attività culturali,DARIO,FRANCESCHINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per la pubblica amministrazione,FABIANA,DADONE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro della Salute,ROBERTO,SPERANZA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dell'Ambiente e della tutela del territorio e del mare,SERGIO,COSTA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro del Lavoro e delle politiche sociali,NUNZIA,CATALFO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per gli Affari europei,VINCENZO,AMENDOLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,"Ministro delle Politiche agricole alimentari, forestali e del turismo",TERESA,BELLANOVA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,"Ministro dell'Istruzione, dell'università e della ricerca",LORENZO,FIORAMONTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro degli Affari esteri e della cooperazione internazionale,LUIGI,DI MAIO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dell'Interno,LUCIANA,LAMORGESE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro della Difesa,LORENZO,GUERINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro della Giustizia,ALFONSO,BONAFEDE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per il Sud e la coesione territoriale,GIUSEPPE LUCIANO CALOGERO,PROVENZANO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per le Pari opportunità e la famiglia,ELENA,BONETTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dell'Economia e delle finanze,ROBERTO,GUALTIERI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro senza portafoglio per l'Innovazione tecnologica e la digitalizzazione,PAOLA,PISANO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,II Governo Conte,Ministro dello Sviluppo economico,STEFANO,PATUANELLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro del Lavoro e delle politiche sociali,LUIGI,DI MAIO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per la Pubblica amministrazione,GIULIA,BONGIORNO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro dello Sviluppo economico,LUIGI,DI MAIO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per la Famiglia e le disabilità,LORENZO,FONTANA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per il Sud,BARBARA,LEZZI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro dell'Ambiente e della tutela del territorio e del mare,SERGIO,COSTA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro della Difesa,ELISABETTA,TRENTA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro dell'Interno,MATTEO,SALVINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,"Ministro dell'Istruzione, dell'università e della ricerca",MARCO,BUSSETTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per gli Affari europei,PAOLO,SAVONA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,BARBARA,LEZZI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,PAOLO,SAVONA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,RICCARDO,FRACCARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,GIULIA,BONGIORNO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,LORENZO,FONTANA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro senza portafoglio,ERIKA,STEFANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per gli Affari regionali e le autonomie,ERIKA,STEFANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro della Salute,GIULIA,GRILLO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro degli Affari esteri e della cooperazione internazionale,ENZO,MOAVERO MILANESI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro dei Beni e delle attività culturali e del turismo,ALBERTO,BONISOLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro per i Rapporti con il Parlamento e la democrazia diretta,RICCARDO,FRACCARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,I Governo Conte,Ministro delle Infrastrutture e dei trasporti,DANILO,TONINELLI
