d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d12440_1,GALATI,VITO GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1250_2,CAIATI,ITALO GIULIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1250_2,CAIATI,ITALO GIULIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICESEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d12540_1,TAMBRONI ARMAROLI,FERDINANDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12640_2,BERNARDI,GUIDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12740_2,FORA,ALDOVINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12760_0,COPPA,EZIO,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d12760_1,COPPA,EZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12810_0,SELVAGGI,VINCENZO,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12810_2,SELVAGGI,VINCENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12930_2,RESTA,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13120_0,RODINO',UGO,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13130_0,CORSI,ANGELO,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
