nome,cognome,gender,legislatura
MARIA MADDALENA,ROSSI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
EMANUELA,SAVIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
EMANUELA,SAVIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
EMANUELA,SAVIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
EMANUELA,SAVIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05
VITTORIA,TITOMANLIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VITTORIA,TITOMANLIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
VITTORIA,TITOMANLIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VITTORIA,TITOMANLIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GIGLIOLA,VALANDRO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIGLIOLA,VALANDRO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
STELLA,VECCHIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUCIANA,VIVIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUCIANA,VIVIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
LUCIANA,VIVIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
LUCIANA,VIVIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
DOLORES,ABBIATI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
DOLORES,ABBIATI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
CARLA,CAPPONI BENTIVEGNA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARLA,CAPPONI BENTIVEGNA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
MARIA,JERVOLINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
