Anno;Mese;Museo;Visitatori;Utenti
2018;febbraio;Museo del Patrimonio Industriale;3998;2586
2018;febbraio;Museo del Risorgimento;356;204
2018;marzo;Museo Medievale;4631;825
2018;marzo;Museo della Tappezzeria;374;120
2018;marzo;MAMbo e Museo Morandi;21603;2880
2018;marzo;Casa Morandi;242;47
2018;aprile;Collezioni Comunali d'Arte;3535;324
2018;aprile;Museo Davia Bargellini;3033;11
2018;aprile;Museo della Tappezzeria;482;67
2018;aprile;Casa Morandi;253;74
2018;aprile;Museo del Risorgimento;471;174
2018;aprile;Museo della Musica;3171;2457
2018;maggio;Museo Davia Bargellini;2285;143
2018;maggio;Museo del Risorgimento;2144;1631
2018;maggio;Museo della Musica;4560;5379
2018;giugno;Museo Medievale;2887;48
2018;giugno;Casa Morandi;143;18
2018;giugno;Museo del Patrimonio Industriale;1707;947
2018;giugno;Museo del Risorgimento;442;214
2018;luglio;Museo Archeologico;3018;63
2018;luglio;Museo Davia Bargellini;1528;0
2018;luglio;Museo Medievale;2183;11
2018;luglio;Museo della Tappezzeria;102;0
2018;agosto;Museo Davia Bargellini;1458;8
2018;agosto;Museo della Tappezzeria;75;0
2018;agosto;Museo per la Memoria di Ustica;514;0
2018;agosto;Museo del Risorgimento;18;21
2018;settembre;Museo Davia Bargellini;2178;0
2018;settembre;Casa Morandi;220;45
2018;ottobre;Museo Archeologico;11131;489
2018;ottobre;Museo Davia Bargellini;2348;119
2018;ottobre;Casa Morandi;189;0
2018;ottobre;Museo del Patrimonio Industriale;2476;4101
2018;novembre;MAMbo e Museo Morandi;10423;6096
2018;novembre;Museo per la Memoria di Ustica;870;0
2018;novembre;Museo del Risorgimento;641;229
2018;dicembre;Museo Archeologico;15530;437
2018;dicembre;Museo della Tappezzeria;0;0
2018;dicembre;Villa delle Rose;109;0
2018;dicembre;Museo per la Memoria di Ustica;1050;126
2019;gennaio;Museo Davia Bargellini;2029;24
2019;gennaio;Museo Medievale;2783;308
2019;gennaio;MAMbo e Museo Morandi;6275;1423
2019;gennaio;Museo del Patrimonio Industriale;3211;2056
2019;gennaio;Museo del Risorgimento;487;114
2019;gennaio;Museo della Musica;1972;3066
2019;febbraio;MAMbo e Museo Morandi;15900;5425
2019;febbraio;Museo del Patrimonio Industriale;4499;2866
2019;febbraio;Museo del Risorgimento;479;153
2019;febbraio;Museo della Musica;3245;5211
2019;marzo;Museo Davia Bargellini;2246;114
2019;marzo;Museo della Musica;3478;3654
2019;aprile;Museo Medievale;4548;396
2019;aprile;MAMbo e Museo Morandi;11560;15435
2019;aprile;Museo per la Memoria di Ustica;1592;24
2019;aprile;Museo del Risorgimento;833;294
2019;maggio;Museo per la Memoria di Ustica;1613;665
2019;maggio;Museo del Patrimonio Industriale;3669;2490
2019;giugno;Collezioni Comunali d'Arte;1658;0
2019;giugno;Museo Medievale;2292;9
2019;giugno;Museo della Tappezzeria;0;0
2019;giugno;Museo del Patrimonio Industriale;1732;1180
2019;giugno;Museo della Musica;1301;279
2019;luglio;Museo della Tappezzeria;0;0
2019;luglio;Villa delle Rose;0;536
2019;luglio;Museo del Patrimonio Industriale;316;133
2019;luglio;Museo della Musica;1711;868
2019;agosto;Collezioni Comunali d'Arte;1531;0
2019;agosto;MAMbo e Museo Morandi;8502;109
2019;agosto;Museo per la Memoria di Ustica;491;8
2019;agosto;Museo del Patrimonio Industriale;131;93
2019;settembre;Museo Archeologico;6340;112
