nome,cognome,gender
FRANCESCO,ALBERTINI,male
PIO,ALESSANDRINI,male
FAUSTO,AMODEI,male
ARMANDO,ANGELINI,male
SILVIO,ANTONINI,male
EGIDIO,ARIOSTO,male
SILVANO,ARMAROLI,male
WALTER,AUDISIO,male
PIERINO,AZIMONTI,male
ALFREDO,BALDANI GUERRA,male
ELIO,BALLESI,male
ANELITO,BARONTINI,male
LELIO,BASSO,male
GIUSEPPE,BELOTTI,male
LUIGI,BERLINGUER,male
MARZIO,BERNARDINETTI,male
GAETANO,BERRETTA,male
FRANCESCO,COLUCCI,male
ERMENEGILDO,BERTOLA,male
ALFREDO,BERZANTI,male
GIUSEPPE MARIA,BETTIOL,male
MARIO,BETTOLI,male
FRANCANTONIO,BIAGGI,male
NULLO,BIAGGI,male
FAUSTO,BISANTIS,male
FRANCO,BOIARDI,male
UBERTO,BONINO,male
DOMENICO,BORRACCINO,male
ANTONIO,BRIZIOLI,male
GIUSEPPE,BRUSASCA,male
GIUSEPPE,ANZILOTTI,male
LUIGI,MATRONE,male
GIOACCHINO,MENEGHETTI,male
VINCENZO,MEZZOGIORNO,male
SILVIO,MIANA,male
VITO,MICELI,male
GIOVANNI,MIGLIORINI,male
ARMELINO,MILANI,male
RUGGERO,MILLET,male
GIORGIO,MONDINO,male
EMILIO,CHANOUX,male
SAVERIO,MONTELEONE,male
GIANPAOLO,MORA,male
GAETANO,MORAZZONI,male
PAOLO ENRICO,MORO,male
RENZO,MOSCHINI,male
CLAUDIO,NAPOLEONI,male
ENRICO,NOVELLINI,male
UMBERTO,CHIACCHIO,male
MAURO,OLIVI,male
FRANCO,ORIONE,male
GIUSEPPE,ORLANDO,male
FRANCESCO,OTTAVIANO,male
FULVIO,PALOPOLI,male
GIUSEPPE ANTONIO,CHIARANTE,male
DOMENICO,PETRELLA,male
CLAUDIO,PONTELLO,male
GIOVANNI,PORCELLANA,male
PIERO,PRATESI,male
ALBERTO,PRESUTTI,male
GIAMPIERO,PUCCIARINI,male
EMILIO,PUGNO,male
FRANCESCO,QUATTRONE,male
GIUSEPPE,QUIETI,male
EDMONDO,RAFFAELLI,male
CARLO,RAMELLA,male
RAIMONDO,RICCI,male
VITALE,ROBALDO,male
