nome,cognome,legislatura,incarico
ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,PRESIDENTE
ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
MARIANO,TROMBETTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
EMANUELE,TUCCARI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,VICEPRESIDENTE
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,PRESIDENTE
FRANCO,ZAPPA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,PRESIDENTE
FRANCO,ZAPPA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
CARLO,BOTTARI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,SEGRETARIO
GIUSEPPE,AVOLIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
GIUSEPPE,AVOLIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
CARLO,SANNA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
ELISEO,MILANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
VITTORIO,CECATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
ALESSANDRO,FERRETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,VICEPRESIDENTE
SPARTACO,BERAGNOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,QUESTORE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,PRESIDENTE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,PRESIDENTE
LUCIANO,DE PASCALIS,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
CASIMIRO,VIZZINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
ARMANDO,CASCIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,SEGRETARIO
UGO,MARCHESI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
LUCIO MARIANO,BRANDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
LUCIO MARIANO,BRANDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
MARIO,ANGELUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
FRANCESCO,DE VITA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
PIERGIORGIO,BRESSANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
PIERGIORGIO,BRESSANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,VICEPRESIDENTE
MICHELE,TROISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
SALVATORE ANGELO,GITTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
SALVATORE ANGELO,GITTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
FILIPPO,GUERRIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
MAURO,BUBBICO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
SILVIO,AMBROSINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,PRESIDENTE
BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
CARLO,CIBOTTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
PIETRO,BUCALOSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
PIETRO,BUCALOSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
PIETRO,BUCALOSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,PRESIDENTE
PIETRO,BUCALOSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
ENRICO,MINIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,PRESIDENTE
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
GIULIO,PASTORE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
PIETRO,BUFFONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
PIETRO,BUFFONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
PIETRO,BUFFONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
FRANCO,BUSETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
FRANCO,BUSETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
FRANCO,BUSETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
FRANCO,BUSETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,QUESTORE
FRANCESCO,NAPOLITANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
ALCIDE,MALAGUGINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
ALCIDE,MALAGUGINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
CARLO,BUZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
CARLO,BUZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
CARLO,BUZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
ALBERTO,GUIDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
ALBERTO,GUIDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
