persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p307113,GIORGIO,TRIZZINO,male
http://dati.camera.it/ocd/persona.rdf/p306085,FRANCESCO,D'UVA,male
http://dati.camera.it/ocd/persona.rdf/p307111,LUCIANO,CADEDDU,male
http://dati.camera.it/ocd/persona.rdf/p305787,ANDREA,CECCONI,male
http://dati.camera.it/ocd/persona.rdf/p307124,EUGENIO,SAITTA,male
http://dati.camera.it/ocd/persona.rdf/p307109,MARIO,PERANTONI,male
http://dati.camera.it/ocd/persona.rdf/p307106,ANDREA,MURA,male
http://dati.camera.it/ocd/persona.rdf/p306091,ALESSIO MATTIA,VILLAROSA,male
http://dati.camera.it/ocd/persona.rdf/p307125,PAOLO,FICARA,male
http://dati.camera.it/ocd/persona.rdf/p307121,ANDREA,GIARRIZZO,male
http://dati.camera.it/ocd/persona.rdf/p307110,BERNARDO,MARINO,male
http://dati.camera.it/ocd/persona.rdf/p307128,TULLIO,PATASSINI,male
http://dati.camera.it/ocd/persona.rdf/p307115,DEDALO COSIMO GAETANO,PIGNATONE,male
http://dati.camera.it/ocd/persona.rdf/p307112,LEONARDO SALVATORE,PENNA,male
http://dati.camera.it/ocd/persona.rdf/p307129,MAURIZIO,CATTOI,male
http://dati.camera.it/ocd/persona.rdf/p1010,LUIGI,BORGHI,male
http://dati.camera.it/ocd/persona.rdf/p10150,VINCENZO MARIO,RUSSO,male
http://dati.camera.it/ocd/persona.rdf/p10180,GIUSEPPE,SACCHI,male
http://dati.camera.it/ocd/persona.rdf/p1020,CARLO,BORRA,male
http://dati.camera.it/ocd/persona.rdf/p10250,BRUNO,SARGENTINI,male
http://dati.camera.it/ocd/persona.rdf/p1030,GIOVANNI ANDREA,BORROMEO D'ADDA,male
http://dati.camera.it/ocd/persona.rdf/p10320,RENATO,SCIONTI,male
http://dati.camera.it/ocd/persona.rdf/p10340,CARLO,SCOTONI,male
http://dati.camera.it/ocd/persona.rdf/p10430,PRIMO,SILVESTRI,male
http://dati.camera.it/ocd/persona.rdf/p10500,ANTONINO,SPINELLI,male
http://dati.camera.it/ocd/persona.rdf/p1050,GIOVANNI,BORTOT,male
http://dati.camera.it/ocd/persona.rdf/p10590,ELVO,TEMPIA VALENTA,male
http://dati.camera.it/ocd/persona.rdf/p1060,MANFREDI,BOSCO,male
http://dati.camera.it/ocd/persona.rdf/p10670,EMANUELE,TUCCARI,male
http://dati.camera.it/ocd/persona.rdf/p10720,PIETRO,VALEGGIANI,male
http://dati.camera.it/ocd/persona.rdf/p1080,PIER GIORGIO,BOTTARELLI,male
http://dati.camera.it/ocd/persona.rdf/p1090,CARLO,BOTTARI,male
http://dati.camera.it/ocd/persona.rdf/p10910,VINCENZO,MAROTTA,male
http://dati.camera.it/ocd/persona.rdf/p10930,GIUSEPPE,AVOLIO,male
http://dati.camera.it/ocd/persona.rdf/p10940,NICOLA,RINALDI,male
http://dati.camera.it/ocd/persona.rdf/p10950,CARLO,SANNA,male
http://dati.camera.it/ocd/persona.rdf/p10970,ENRICO,ALBA,male
http://dati.camera.it/ocd/persona.rdf/p10980,ODDINO,BO,male
http://dati.camera.it/ocd/persona.rdf/p10990,ANGELO,CUCCHI,male
http://dati.camera.it/ocd/persona.rdf/p11000,ERMANNO,DOSSETTI,male
http://dati.camera.it/ocd/persona.rdf/p1100,FRANCESCO,BOVA,male
http://dati.camera.it/ocd/persona.rdf/p11020,ELISEO,MILANI,male
http://dati.camera.it/ocd/persona.rdf/p11030,ANTONINO,SCAINI,male
http://dati.camera.it/ocd/persona.rdf/p11050,VITTORIO,CECATI,male
http://dati.camera.it/ocd/persona.rdf/p11060,ALESSANDRO,FERRETTI,male
http://dati.camera.it/ocd/persona.rdf/p11090,VINICIO,BALDELLI,male
http://dati.camera.it/ocd/persona.rdf/p110,CESARE,ALLEGRI,male
http://dati.camera.it/ocd/persona.rdf/p11100,SPARTACO,BERAGNOLI,male
