"name","prizeName","year","gender","category"
"George H. Hitchings","The Nobel Prize in Physiology or Medicine 1988","1988","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir James W. Black","The Nobel Prize in Physiology or Medicine 1988","1988","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sidney Altman","The Nobel Prize in Chemistry 1989","1989","male","http://data.nobelprize.org/terms/Chemistry"
"Thomas R. Cech","The Nobel Prize in Chemistry 1989","1989","male","http://data.nobelprize.org/terms/Chemistry"
"Trygve Haavelmo","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1989","1989","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Camilo José Cela","The Nobel Prize in Literature 1989","1989","male","http://data.nobelprize.org/terms/Literature"
"The 14th Dalai Lama (Tenzin Gyatso)","The Nobel Peace Prize 1989","1989","male","http://data.nobelprize.org/terms/Peace"
"Hans G. Dehmelt","The Nobel Prize in Physics 1989","1989","male","http://data.nobelprize.org/terms/Physics"
"Norman F. Ramsey","The Nobel Prize in Physics 1989","1989","male","http://data.nobelprize.org/terms/Physics"
"Wolfgang Paul","The Nobel Prize in Physics 1989","1989","male","http://data.nobelprize.org/terms/Physics"
"Harold E. Varmus","The Nobel Prize in Physiology or Medicine 1989","1989","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"J. Michael Bishop","The Nobel Prize in Physiology or Medicine 1989","1989","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Elias James Corey","The Nobel Prize in Chemistry 1990","1990","male","http://data.nobelprize.org/terms/Chemistry"
"Harry M. Markowitz","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1990","1990","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Merton H. Miller","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1990","1990","male","http://data.nobelprize.org/terms/Economic_Sciences"
"William F. Sharpe","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1990","1990","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Octavio Paz","The Nobel Prize in Literature 1990","1990","male","http://data.nobelprize.org/terms/Literature"
"Mikhail Sergeyevich Gorbachev","The Nobel Peace Prize 1990","1990","male","http://data.nobelprize.org/terms/Peace"
"Henry W. Kendall","The Nobel Prize in Physics 1990","1990","male","http://data.nobelprize.org/terms/Physics"
"Jerome I. Friedman","The Nobel Prize in Physics 1990","1990","male","http://data.nobelprize.org/terms/Physics"
"Richard E. Taylor","The Nobel Prize in Physics 1990","1990","male","http://data.nobelprize.org/terms/Physics"
"E. Donnall Thomas","The Nobel Prize in Physiology or Medicine 1990","1990","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Joseph E. Murray","The Nobel Prize in Physiology or Medicine 1990","1990","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Richard R. Ernst","The Nobel Prize in Chemistry 1991","1991","male","http://data.nobelprize.org/terms/Chemistry"
"Ronald H. Coase","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1991","1991","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Nadine Gordimer","The Nobel Prize in Literature 1991","1991","female","http://data.nobelprize.org/terms/Literature"
"Aung San Suu Kyi","The Nobel Peace Prize 1991","1991","female","http://data.nobelprize.org/terms/Peace"
"Pierre-Gilles de Gennes","The Nobel Prize in Physics 1991","1991","male","http://data.nobelprize.org/terms/Physics"
"Bert Sakmann","The Nobel Prize in Physiology or Medicine 1991","1991","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Erwin Neher","The Nobel Prize in Physiology or Medicine 1991","1991","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Rudolph A. Marcus","The Nobel Prize in Chemistry 1992","1992","male","http://data.nobelprize.org/terms/Chemistry"
"Gary S. Becker","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1992","1992","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Derek Walcott","The Nobel Prize in Literature 1992","1992","male","http://data.nobelprize.org/terms/Literature"
"Rigoberta Menchú Tum","The Nobel Peace Prize 1992","1992","female","http://data.nobelprize.org/terms/Peace"
"Georges Charpak","The Nobel Prize in Physics 1992","1992","male","http://data.nobelprize.org/terms/Physics"
"Edmond H. Fischer","The Nobel Prize in Physiology or Medicine 1992","1992","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Edwin G. Krebs","The Nobel Prize in Physiology or Medicine 1992","1992","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Kary B. Mullis","The Nobel Prize in Chemistry 1993","1993","male","http://data.nobelprize.org/terms/Chemistry"
"Michael Smith","The Nobel Prize in Chemistry 1993","1993","male","http://data.nobelprize.org/terms/Chemistry"
"Douglass C. North","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1993","1993","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Robert W. Fogel","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1993","1993","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Toni Morrison","The Nobel Prize in Literature 1993","1993","female","http://data.nobelprize.org/terms/Literature"
"Frederik Willem de Klerk","The Nobel Peace Prize 1993","1993","male","http://data.nobelprize.org/terms/Peace"
"Nelson Rolihlahla Mandela","The Nobel Peace Prize 1993","1993","male","http://data.nobelprize.org/terms/Peace"
"Joseph H. Taylor Jr.","The Nobel Prize in Physics 1993","1993","male","http://data.nobelprize.org/terms/Physics"
"Russell A. Hulse","The Nobel Prize in Physics 1993","1993","male","http://data.nobelprize.org/terms/Physics"
"Phillip A. Sharp","The Nobel Prize in Physiology or Medicine 1993","1993","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Richard J. Roberts","The Nobel Prize in Physiology or Medicine 1993","1993","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"George A. Olah","The Nobel Prize in Chemistry 1994","1994","male","http://data.nobelprize.org/terms/Chemistry"
"John C. Harsanyi","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994","1994","male","http://data.nobelprize.org/terms/Economic_Sciences"
"John F. Nash Jr.","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994","1994","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Reinhard Selten","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994","1994","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Kenzaburo Oe","The Nobel Prize in Literature 1994","1994","male","http://data.nobelprize.org/terms/Literature"
"Shimon Peres","The Nobel Peace Prize 1994","1994","male","http://data.nobelprize.org/terms/Peace"
"Yasser Arafat","The Nobel Peace Prize 1994","1994","male","http://data.nobelprize.org/terms/Peace"
"Yitzhak Rabin","The Nobel Peace Prize 1994","1994","male","http://data.nobelprize.org/terms/Peace"
"Bertram N. Brockhouse","The Nobel Prize in Physics 1994","1994","male","http://data.nobelprize.org/terms/Physics"
"Clifford G. Shull","The Nobel Prize in Physics 1994","1994","male","http://data.nobelprize.org/terms/Physics"
"Alfred G. Gilman","The Nobel Prize in Physiology or Medicine 1994","1994","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Martin Rodbell","The Nobel Prize in Physiology or Medicine 1994","1994","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"F. Sherwood Rowland","The Nobel Prize in Chemistry 1995","1995","male","http://data.nobelprize.org/terms/Chemistry"
"Mario J. Molina","The Nobel Prize in Chemistry 1995","1995","male","http://data.nobelprize.org/terms/Chemistry"
"Paul J. Crutzen","The Nobel Prize in Chemistry 1995","1995","male","http://data.nobelprize.org/terms/Chemistry"
